Timestamp,City,name,lat,lon,co,dew,h,no2,o3,p,pm10,pm25,r,so2,t,w,time
2025-02-20 12:00:22,Trat,"Trat Provincial Central Stadium, Thailand (สนามกีฬากลางจังหวัดตราด)",12.234862,102.523721,0.1,24.2,77.6,2.4,15.0,1011.4,40.0,68.0,1.6,1.6,28.5,1.0,2025-02-20 18:00:00
2025-02-20 12:00:22,Nonthaburi,"Sukhothai Thammathirat Open University, Nonthaburi, Thailand (มหาวิทยาลัยสุโขทัยธรรมาธิราช)",13.907861,100.535641,0.1,21.0,55.0,11.0,6.4,1014.0,46.0,96.0,,0.6,31.0,3.0,2025-02-20 18:00:00
2025-02-20 12:00:23,Nan,"Municipality Office, Nan, Thailand (สำนักงานเทศบาลเมืองน่าน)",18.7888833,100.7763166,0.1,19.9,85.8,1.2,1.6,993.6,67.0,128.0,99.2,0.6,22.4,1.0,2025-02-20 18:00:00
2025-02-20 12:00:23,Ubon Ratchathani,"Nai Mueang,Mueang,Ubon Ratchathani , Thailand (ต.ในเมือง อ.เมือง จ.อุบลราชธานี)",15.245413,104.846219,0.1,19.0,54.0,4.1,9.5,1015.0,69.0,155.0,,0.6,29.0,2.0,2025-02-20 18:00:00
2025-02-20 12:00:24,Samut Sakhon,"Provincial Administrative Organization, Samut Sakhon, Thailand (องค์การบริหารส่วนจังหวัดสมุทรสาคร)",13.5502631,100.2647676,,24.3,73.7,7.5,2.8,1012.8,33.0,57.0,2.0,0.6,29.5,1.0,2025-02-20 18:00:00
2025-02-20 12:00:24,Chiang Mai,Chiang Mai,18.787747,98.9931284,,,59.8,7.5,14.6,981.1,82.0,97.0,,0.6,27.5,1.0,2025-02-20 18:00:00
2025-02-20 12:00:25,Mueang Chiang Rai,Mueang Chiang Rai,19.9104798,99.840576,0.1,,71.0,0.6,12.7,982.1,54.0,112.0,,,27.9,0.1,2025-02-20 18:00:00
2025-02-20 12:00:25,Ayutthaya,"Ayutthaya Witthayalai School, Ayutthaya, Thailand (โรงเรียนอยุธยาวิทยาลัย)",14.35222,100.565325,0.1,23.8,69.5,3.5,5.2,1013.9,64.0,135.0,0.5,0.6,30.0,2.5,2025-02-20 18:00:00
2025-02-20 12:00:26,Uttaradit,"72nd Anniversary King Bhumibol Public Park, Uttaradit, Thailand (สวนมหามงคลเฉลิมพระชนมพรรษา 6 รอบ 5 ธันวาคม 2552 อุตรดิตถ์)",17.631352,100.09896,,20.8,71.8,3.5,12.3,1008.3,51.0,99.0,0.8,0.6,26.3,3.0,2025-02-20 18:00:00
2025-02-20 12:00:27,Rayong,Rayong,12.707434,101.1473517,0.1,,71.1,11.0,16.6,1008.6,30.0,78.0,2.3,2.2,29.5,1.0,2025-02-20 18:00:00
2025-02-20 12:00:27,Pathum Thani,"Bangkok University Rangsit Campus, Pathum Thani, Thailand (มหาวิทยาลัยกรุงเทพ วิทยาเขตรังสิต)",14.03742,100.605216,0.1,23.0,62.5,13.3,8.3,1013.7,54.0,109.0,99.0,2.2,31.0,1.5,2025-02-20 18:00:00
2025-02-20 12:00:28,Chonburi,"General Education Office, Chonburi, Thailand (สำนักงานสามัญศึกษาชลบุรี)",13.35461667,100.9792167,,24.7,77.2,9.3,6.0,1013.7,33.0,82.0,0.6,1.1,29.1,2.5,2025-02-20 18:00:00
2025-02-20 12:00:28,Nakhon Pathom,"Mueang, Nakhon Pathom, Thailand (ต.นครปฐม อ.เมือง จ.นครปฐม)",13.832076,100.057961,,24.6,72.9,,6.0,1013.2,36.0,80.0,,9.0,30.0,1.0,2025-02-20 18:00:00
2025-02-20 12:00:29,Ratchaburi,"Regional Environmental Office 8, Thailand (สำนักงานสิ่งแวดล้อมภาคที่ 8 ราชบุรี)",13.5234,99.814082,0.1,23.7,71.1,2.9,9.5,1013.5,25.0,103.0,,0.6,29.5,1.0,2025-02-20 18:00:00
2025-02-20 12:00:29,Phuket,"Municipal Health Center 1, Phuket, Thailand (ศูนย์บริการสาธารณสุข 1 กองการแพทย์ เทศบาลนครภูเก็ต)",7.884488,98.391283,0.1,-6.1,8.1,2.4,,1011.4,,53.0,2.0,0.6,32.2,3.6,2025-02-20 18:00:00
