station_code,station_name,latitude,longitude,basin,sub_basin,tambon,amphoe,province,station_type_telem,start_datetime,end_datetime,agency_name,sponsor_by
MOU066,หน่วยพิทักษ์อุทยานแห่งชาติ ที่ สก. 2 (ภูลังกา),19.393606,100.45062,ยม,แม่น้ำยมตอนบนส่วนที่ 1,ผาช้างน้อย,ปง,พะเยา,R,2020-03-19 00:00:00,-,มูลนิธิอาสาเพื่อนพึ่ง (ภาฯ) ยามยาก,บริษัท แอดวานซ์ อินโฟร์ เซอร์วิส จำกัด (มหาชน)
MOU067,หน่วยศึกษาการพัฒนาการอนุรักษ์ต้นน้ำแม่สาน (หน่วยย่อย),17.653162,99.604034,ยม,แม่น้ำยมตอนล่างส่วนที่ 2,แม่สิน,ศรีสัชนาลัย,สุโขทัย,R,2020-03-19 00:00:00,-,มูลนิธิอาสาเพื่อนพึ่ง (ภาฯ) ยามยาก,บริษัท แอดวานซ์ อินโฟร์ เซอร์วิส จำกัด (มหาชน)
MOU068,อุทยานแห่งชาติแม่เมย,17.483812,98.07418,สาละวิน,แม่น้ำเมยตอนล่าง,แม่สอง,ท่าสองยาง,ตาก,R,2020-03-19 09:08:58,-,มูลนิธิอาสาเพื่อนพึ่ง (ภาฯ) ยามยาก,บริษัท แอดวานซ์ อินโฟร์ เซอร์วิส จำกัด (มหาชน)
MOU069,หน่วยพิทักษ์อุทยานแห่งชาติ มว.๔ (แม่แสลม),17.385546,99.30819,ยม,น้ำแม่มอก,เวียงมอก,เถิน,ลำปาง,R,2020-03-19 09:08:58,-,มูลนิธิอาสาเพื่อนพึ่ง (ภาฯ) ยามยาก,บริษัท แอดวานซ์ อินโฟร์ เซอร์วิส จำกัด (มหาชน)
MOU070,หน่วยจัดการต้นน้ำดอยเปเปอร์,17.265078,98.35859,สาละวิน,แม่น้ำเมยตอนล่าง,แม่หละ,ท่าสองยาง,ตาก,R,2020-03-19 09:08:58,-,มูลนิธิอาสาเพื่อนพึ่ง (ภาฯ) ยามยาก,บริษัท แอดวานซ์ อินโฟร์ เซอร์วิส จำกัด (มหาชน)
MOU071,ที่ทำการเขตรักษาพันธุ์สัตว์ป่าถ้ำเจ้าราม,17.243807,99.48649,ยม,น้ำแม่มอก,นาขุนไกร,ศรีสำโรง,สุโขทัย,R,2020-03-19 09:08:58,-,มูลนิธิอาสาเพื่อนพึ่ง (ภาฯ) ยามยาก,บริษัท แอดวานซ์ อินโฟร์ เซอร์วิส จำกัด (มหาชน)
MOU072,โครงการอนุรักษ์สภาพป่าแม่ตื่น ฯ (บ้านห้วยน้ำเย็น),17.22546,98.5574,ปิง,น้ำแม่ตื่น,แม่ตื่น,แม่ระมาด,ตาก,R,2020-03-19 09:08:58,-,มูลนิธิอาสาเพื่อนพึ่ง (ภาฯ) ยามยาก,บริษัท แอดวานซ์ อินโฟร์ เซอร์วิส จำกัด (มหาชน)
MOU073,สะพานแม่ตื่น,17.12535,98.6394,ปิง,น้ำแม่ตื่น,แม่ตื่น,แม่ระมาด,ตาก,W,2020-03-19 09:08:58,-,มูลนิธิอาสาเพื่อนพึ่ง (ภาฯ) ยามยาก,บริษัท แอดวานซ์ อินโฟร์ เซอร์วิส จำกัด (มหาชน)
MOU074,คลองแม่รำพัน 1,17.050375,99.664345,ยม,น้ำแม่รำพัน,เมืองเก่า,เมืองสุโขทัย,สุโขทัย,W,2020-03-19 09:08:58,-,มูลนิธิอาสาเพื่อนพึ่ง (ภาฯ) ยามยาก,บริษัท แอดวานซ์ อินโฟร์ เซอร์วิส จำกัด (มหาชน)
MOU075,หน่วยพิทักษ์อุทยานแห่งชาติที่ รค.๒ (คลองสวน),17.026962,99.62327,ยม,น้ำแม่รำพัน,บ้านด่าน,บ้านด่านลานหอย,สุโขทัย,R,2020-03-19 09:08:58,-,มูลนิธิอาสาเพื่อนพึ่ง (ภาฯ) ยามยาก,บริษัท แอดวานซ์ อินโฟร์ เซอร์วิส จำกัด (มหาชน)
